INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (1, 6, 'dia12h', '07:00:00.000000', '19:00:00.000000', '2023-12-30', 18);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (2, 4, 'mañana8h', '06:00:00.000000', '14:00:00.000000', '2023-06-28', 20);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (3, 1, 'noche8h', '22:00:00.000000', '06:00:00.000000', '2023-05-30', 28);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (4, 4, 'mañana8h', '06:00:00.000000', '14:00:00.000000', '2023-12-18', 17);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (5, 8, 'dia12h', '07:00:00.000000', '19:00:00.000000', '2023-02-12', 12);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (6, 5, 'mañana8h', '06:00:00.000000', '14:00:00.000000', '2023-07-20', 30);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (7, 3, 'dia12h', '07:00:00.000000', '19:00:00.000000', '2023-07-16', 10);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (8, 7, 'tarde8h', '14:00:00.000000', '22:00:00.000000', '2023-04-27', 23);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (9, 10, 'noche8h', '22:00:00.000000', '06:00:00.000000', '2023-03-27', 29);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (10, 3, 'noche8h', '22:00:00.000000', '06:00:00.000000', '2023-10-27', 18);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (11, 7, 'dia12h', '07:00:00.000000', '19:00:00.000000', '2023-08-05', 9);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (12, 7, 'noche12h', '19:00:00.000000', '07:00:00.000000', '2023-08-17', 20);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (13, 3, 'noche8h', '22:00:00.000000', '06:00:00.000000', '2023-07-25', 7);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (14, 1, 'dia12h', '07:00:00.000000', '19:00:00.000000', '2023-10-23', 23);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (15, 10, 'noche12h', '19:00:00.000000', '07:00:00.000000', '2023-10-10', 11);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (16, 9, 'tarde8h', '14:00:00.000000', '22:00:00.000000', '2023-09-06', 13);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (17, 7, 'dia12h', '07:00:00.000000', '19:00:00.000000', '2023-07-22', 28);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (18, 2, 'dia12h', '07:00:00.000000', '19:00:00.000000', '2023-06-05', 28);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (19, 3, 'mañana8h', '06:00:00.000000', '14:00:00.000000', '2023-11-10', 30);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (20, 9, 'noche8h', '22:00:00.000000', '06:00:00.000000', '2023-10-09', 27);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (21, 3, 'noche8h', '22:00:00.000000', '06:00:00.000000', '2023-11-09', 12);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (22, 6, 'mañana8h', '06:00:00.000000', '14:00:00.000000', '2023-10-08', 11);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (23, 7, 'noche12h', '19:00:00.000000', '07:00:00.000000', '2023-11-27', 18);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (24, 3, 'tarde8h', '14:00:00.000000', '22:00:00.000000', '2023-04-02', 25);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (25, 7, 'noche8h', '22:00:00.000000', '06:00:00.000000', '2023-05-24', 30);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (26, 9, 'mañana8h', '06:00:00.000000', '14:00:00.000000', '2023-08-05', 30);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (27, 3, 'dia12h', '07:00:00.000000', '19:00:00.000000', '2023-12-02', 15);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (28, 4, 'dia12h', '07:00:00.000000', '19:00:00.000000', '2023-01-12', 19);
